Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xead86910ae2c4424c8b7fff7e48b7a957812585890888519bc1ca008c2066659","Success","Transfer","22644314","2025-06-06 08:17:47","0x8211310a6d22b2098193a68a006fa6b0784df9e3","","0x025d2AD24321Cc4c651220d93Cc7667F6843880e","","0.00479175 ETH","$11.70","0.00003945"
"0x8cb244ce01a35d04c56b77eb5bd138e4af09941fd5dc6df420a0e538eef95848","Success","Safe Transfer From","22644305","2025-06-06 08:15:59","0x8211310a6d22b2098193a68a006fa6b0784df9e3","","0x57f1887a8BF19b14fC0dF6Fd9B2acc9Af147eA85","ENS: Base Registrar Implementation","0 ETH","$0.00","0.00009193"
"0x8e725fdd54894d1799d50dc44d60bbf6e48a0a477fc967aad917c6c473aa34f6","Success","Reclaim","22644298","2025-06-06 08:14:35","0x8211310a6d22b2098193a68a006fa6b0784df9e3","","0x57f1887a8BF19b14fC0dF6Fd9B2acc9Af147eA85","ENS: Base Registrar Implementation","0 ETH","$0.00","0.00007115"
"0x73154d2624a06e7670145cd04f8626325746a7a09515a8adf0737cb6f6c4fbde","Success","Transfer","22644294","2025-06-06 08:13:47","0x025d2ad24321cc4c651220d93cc7667f6843880e","","0x8211310A6d22b2098193A68A006FA6b0784df9E3","","0.005 ETH","$12.20","0.00004741"
"0xbd1c0a328d4acb03b470ef8f8ae20a3978ec28bed663053d90adac4c935b54d3","Success","Transfer","22644284","2025-06-06 08:11:47","0x8211310a6d22b2098193a68a006fa6b0784df9e3","","0x025d2AD24321Cc4c651220d93Cc7667F6843880e","","0.00488956 ETH","$11.93","0.00003938"
"0xb6676bf9c88b0e75db748658abe39ab0d65cf367cc16c227984468e0bf1fee42","Success","Set Addr","22644272","2025-06-06 08:09:23","0x8211310a6d22b2098193a68a006fa6b0784df9e3","","0x4976fb03C32e5B8cfe2b6cCB31c09Ba78EBaBa41","ENS: Public Resolver 2","0 ETH","$0.00","0.0000609"
"0x2a2ab5d0edcfff8234f88bbe085242d67f5c12afc28effc9f5e67478a94ca9ed","Success","Transfer","22644269","2025-06-06 08:08:47","0x025d2ad24321cc4c651220d93cc7667f6843880e","","0x8211310A6d22b2098193A68A006FA6b0784df9E3","","0.005 ETH","$12.20","0.00004941"
"0xb4bcf07f810c3cd82443e1c95025d951672deefc61e8dcc888d18899fa960ace","Success","Transfer","22644011","2025-06-06 07:16:59","0x8211310a6d22b2098193a68a006fa6b0784df9e3","","0x4358f772bC7bE9569505681BF97A3e341A12316c","","0.32670051 ETH","$797.39","0.000147"
"0x6e152e12b48854ee3b0c76bc82c7742272bf6bde84c06ae110ba5a8d608a4762","Success","Transfer","22644007","2025-06-06 07:16:11","0x8211310a6d22b2098193a68a006fa6b0784df9e3","","0x28561B8A2360F463011c16b6Cc0B0cbEF8dbBcad","Moodeng: MOODENG Token","0 ETH","$0.00","0.00032751"
"0xadcd7d5c71c76491ee2845a2f745b3498afaf4c484b6eb9be96d7cf043771415","Success","Transfer","22644005","2025-06-06 07:15:47","0x8211310a6d22b2098193a68a006fa6b0784df9e3","","0x6982508145454Ce325dDbE47a25d4ec3d2311933","Pepe: PEPE Token","0 ETH","$0.00","0.00028625"
"0xe0482751e2eb88ba4d50c01c0e07339467622ac04bf83e6273268c607bef8fdc","Success","Execute","22437200","2025-05-08 07:00:23","0x8211310a6d22b2098193a68a006fa6b0784df9e3","","0x66a9893cC07D91D95644AEDD05D03f95e1dBA8Af","Uniswap V4: Universal Router","0 ETH","$0.00","0.00052724"
"0x7c122c73b822861c016bc0d538a9f52a67980b7aa4743f7620908546f875b96a","Success","Execute","22261968","2025-04-13 18:52:35","0x8211310a6d22b2098193a68a006fa6b0784df9e3","","0x66a9893cC07D91D95644AEDD05D03f95e1dBA8Af","Uniswap V4: Universal Router","0 ETH","$0.00","0.00090402"
"0x16322f4b00d3e870108bc184dea97189862745d09225cf02a761fc03ae00dab6","Success","Execute","22246704","2025-04-11 15:50:11","0x8211310a6d22b2098193a68a006fa6b0784df9e3","","0x66a9893cC07D91D95644AEDD05D03f95e1dBA8Af","Uniswap V4: Universal Router","0 ETH","$0.00","0.00091515"
